Indnum,Activity,Consumption,Quality_of_Life_Importance__1_10,solar_powered__water_heater,gas_water_heater,electric_water_heater___peak_hou,electric_water_heater___off_peak,gas,natural_gas,hybrid,electric___peak_hours,electric___off_peak_hours,jetfuel
587,bath,,19,,,,,,,,,,
587,wash-up,38,33,,,,,,,,,,
587,use of dishwasher,,25,,,,,,,,,,
587,use of clothes washer,4,38,,,,,,,,,,
587,use of clothes dryer,3,12,,,,,,,,,,
587,use of cooking range,,,,,,,,,,1,,
587,use of  oven,11,34,,,,,1,,1,,,
587,use of self-clean feature of electric oven,3,15,,,,,1,,,,,
587,Small kitchen appliance in the home,50,,,,,,,,,,,
587,TV/computer use,63,26,1,,,,,,1,,,
587,air travel - large plane,3302,51,,,,,,,,,,
587,air travel - small  plane (<50 seats),,,,,,,,,,,,
587,car trips- self only,352,45,,,,,1,,,,,
587,car trips - driver and self,16,27,,,,,1,,,,,
587,car trips - 2+ people with multiple end points,26,,,,,,1,,,,,
587,trips using public ground transportation,16,42,,,,,,,,,,
587,bags of garbage disposed,27,47,,,,,,,,,,
587,bags of recycling deposited (negative CF),,,,,,,,,,,,
587,bags of compost deposited (negative CF),,,,,,,,,,,,
587,hazardous or electric items disposed,,,,,,,,,,,,
587,large items disposed,,13,,,,,,,,,,
588,Household heating => 70F,5,90,,1,,1,,1,,,,
588,Household heating < 70F,6,75,,,,,,1,,,,
588,Use of heat pump,,48,,,,,,,,,,
588,Use of air conditioner,22,57,,,,,,,,,,
588,shower - short,5,97,,,,,,,,,,
588,shower - long (> 3 min),28,73,,,,,,,,,,
588,bath,,9,,,,,,,,,,
588,wash-up,32,43,,,,,,,,,,
588,use of dishwasher,,21,,,,,,,,,,
588,use of clothes washer,4,32,,,,,,,,,,
588,use of clothes dryer,3,15,,,,,,,,,1,
588,use of cooking range,,,,,,,1,,,,1,
588,use of  oven,8,35,1,,,,,,,,1,
588,use of self-clean feature of electric oven,2,11,,1,,,,,,,,
588,Small kitchen appliance in the home,,,,,,,,,,,,
588,TV/computer use,61,27,,,1,,,,1,,,
588,air travel - large plane,3555,46,,,,,,,,,,1
588,air travel - small  plane (<50 seats),,,,,,,,,,,,1
588,car trips- self only,430,48,,,,,1,,,,,
588,car trips - driver and self,24,26,,,,,1,,,,,
588,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
588,trips using public ground transportation,13,50,,,,,,,,,,
588,bags of garbage disposed,28,47,,,,,,,,,,
588,bags of recycling deposited (negative CF),,,,,,,,,,,,
588,bags of compost deposited (negative CF),3,6,,,,,,,,,,
588,hazardous or electric items disposed,3,,,,,,,,,,,
588,large items disposed,1,18,,,,,,,,,,
589,Household heating => 70F,8,68,,1,,,,1,,,,
589,Household heating < 70F,8,85,,1,,,,1,,,,
589,Use of heat pump,,43,,,,,,,,,,
589,Use of air conditioner,21,49,,,1,,,,,,,
589,shower - short,3,86,,,,,1,,,,,
589,shower - long (> 3 min),21,86,,,,,,,,,,
589,bath,,22,,,,,,,,,,
589,wash-up,44,44,,,,1,,,,,,
589,use of dishwasher,,24,,,,,,,,,,
589,use of clothes washer,7,46,,,,,,,,,,
589,use of clothes dryer,3,11,,,,,,,,,,
589,use of cooking range,,,,,,,,,,,,
589,use of  oven,12,31,,,,,,,,,,
589,use of self-clean feature of electric oven,2,21,,,,,,,,,,
589,Small kitchen appliance in the home,,,,,,,,,,,,
589,TV/computer use,63,21,,,,,,,,,,
589,air travel - large plane,3517,49,,,,,,,,,,1
589,air travel - small  plane (<50 seats),,,,,,,,,,,,1
589,car trips- self only,272,46,,,,,1,,,,,
589,car trips - driver and self,16,21,,,,,1,,,,,
589,car trips - 2+ people with multiple end points,11,,,,,,1,,,,,
589,trips using public ground transportation,19,42,,,,,,,,,,
589,bags of garbage disposed,26,48,,,,,,,,,,
589,bags of recycling deposited (negative CF),,,,,,,,,,,,
589,bags of compost deposited (negative CF),,,,,,,,,,,,
589,hazardous or electric items disposed,,,,,,,,,,,,
589,large items disposed,1,15,,,,,,,,,,
590,Household heating => 70F,7,91,,,1,,,1,,,,
590,Household heating < 70F,7,85,,,,,,1,1,,,
590,Use of heat pump,,40,,,,,,,,,,
590,Use of air conditioner,29,54,,,,,,,,,,
590,shower - short,6,98,,,,,,,,,,
590,shower - long (> 3 min),33,76,,,,,,,,,,
590,bath,,13,,,,,,,,,,
590,wash-up,46,27,,,,,,,,,,
590,use of dishwasher,,23,,1,,,,,,,,
590,use of clothes washer,8,42,,,,,,,,,,
590,use of clothes dryer,4,17,,,,,,,,,1,
590,use of cooking range,,,,,,,,,,,1,
590,use of  oven,12,38,,,,,,,,,1,
590,use of self-clean feature of electric oven,2,13,,,,,,,,,,
590,Small kitchen appliance in the home,,,,,,,,,,,,
590,TV/computer use,58,26,,,,,,,,,,
590,air travel - large plane,3015,41,,,,,,,,,,
590,air travel - small  plane (<50 seats),,,,,,,,,,,,1
590,car trips- self only,342,59,,,,,1,,,,,
590,car trips - driver and self,33,40,,,,,1,,,,,
590,car trips - 2+ people with multiple end points,10,,,,,,1,,,,,
590,trips using public ground transportation,16,58,,,,,,,,,,
590,bags of garbage disposed,26,47,,,,,,,,,,
590,bags of recycling deposited (negative CF),,,,,,,,,,,,
590,bags of compost deposited (negative CF),,,,,,,,,,,,
590,hazardous or electric items disposed,,,,,,,,,,,,
590,large items disposed,1,19,,,,,,,,,,
591,Household heating => 70F,9,82,,,,,,1,,,,
591,Household heating < 70F,9,75,,,,,,1,,,,
591,Use of heat pump,,53,,,,,,,,,,
591,Use of air conditioner,16,50,,,,,,,,,,
591,shower - short,5,82,,,,,,,,,,
591,shower - long (> 3 min),33,78,,,,,,,,,,
591,bath,,22,,,,,,,,,,
591,wash-up,45,30,,,,,,,,,,
591,use of dishwasher,,24,,1,,,,,,,,
591,use of clothes washer,4,44,,,,,,,,,,
591,use of clothes dryer,3,16,,,,,,,,,,
591,use of cooking range,,,,,,,,,,,,
591,use of  oven,10,40,,1,,,,,,,,
591,use of self-clean feature of electric oven,1,13,1,,,,,,,,,
591,Small kitchen appliance in the home,,,,,,1,,,,,,
591,TV/computer use,64,22,,,,,,,,,,
591,air travel - large plane,2726,47,,,,,,,,,,
591,air travel - small  plane (<50 seats),,,,,,,,,,,,
591,car trips- self only,389,55,,,,,1,,,,,
591,car trips - driver and self,20,30,,,,,1,,,,,
591,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
591,trips using public ground transportation,14,56,,,,,,,,,,
591,bags of garbage disposed,27,47,,,,,,,,,,
591,bags of recycling deposited (negative CF),,,,,,,,,,,,
591,bags of compost deposited (negative CF),,,,,,,,,,,,
591,hazardous or electric items disposed,,,,,,,,,,,,
591,large items disposed,,16,,,,,,,,,,
592,Household heating => 70F,7,62,,,,,,1,,,,
592,Household heating < 70F,3,63,,,,,,1,,,,
592,Use of heat pump,,47,,,,,,,,,,
592,Use of air conditioner,18,39,,,,,,,,,,
592,shower - short,8,89,,,,,,,,,,
592,shower - long (> 3 min),36,84,,,,,,,,,,
592,bath,,17,,,,,,,,,,
592,wash-up,38,42,,,,,,,,,,
592,use of dishwasher,,25,,,,,,,,,,
592,use of clothes washer,5,32,,1,,,,,,,,
592,use of clothes dryer,3,21,,,,,,,,,1,
592,use of cooking range,,,,,,,,,,,1,
592,use of  oven,12,34,,,,,,,,,1,
592,use of self-clean feature of electric oven,3,15,,,,1,,,,,,
592,Small kitchen appliance in the home,,,,,,,,,,,,
592,TV/computer use,62,26,,,,,,,,,,
592,air travel - large plane,3331,51,,,,,,,,,,
592,air travel - small  plane (<50 seats),,,,,,,,,,,,1
592,car trips- self only,377,59,,,,,1,,,,,
592,car trips - driver and self,10,19,,,,,1,,,,,
592,car trips - 2+ people with multiple end points,13,,,,,,1,,,,,
592,trips using public ground transportation,17,55,,,,,,,,,,
592,bags of garbage disposed,22,49,,,,,,,,,,
592,bags of recycling deposited (negative CF),,,,,,,,,,,,
592,bags of compost deposited (negative CF),,,,,,,,,,,,
592,hazardous or electric items disposed,,,,,,,,,,,,
592,large items disposed,,20,,,,,,,,,,
593,Household heating => 70F,6,70,,,,,,1,,,,
593,Household heating < 70F,7,69,,,,,,1,,,,
593,Use of heat pump,,49,,,,,,,,,,
593,Use of air conditioner,13,45,,1,1,,,,,,,
593,shower - short,3,97,,,,,,,,,,
593,shower - long (> 3 min),12,81,,,,,,,,,,
593,bath,,22,,,,,,,,,,
593,wash-up,41,36,,,,,,,,,,
593,use of dishwasher,,21,,,,,,,,1,,
593,use of clothes washer,7,38,,,,,,,,,,
593,use of clothes dryer,2,18,,,,,,,,,,
593,use of cooking range,,,,,,,,,,,,
593,use of  oven,9,37,,,,,,,,,,
593,use of self-clean feature of electric oven,1,17,,,,,,,,,,
593,Small kitchen appliance in the home,,,,,,,,,,,,
593,TV/computer use,61,26,,,,,,,,,,
593,air travel - large plane,3160,50,,,,,,,,,,
593,air travel - small  plane (<50 seats),,,,,,,,,,,,
593,car trips- self only,420,58,,,,,1,,,,,
593,car trips - driver and self,23,20,,,,,1,,,,,
593,car trips - 2+ people with multiple end points,23,,,,,,1,,,,,
593,trips using public ground transportation,14,54,,,,,,,,,,
593,bags of garbage disposed,27,43,,,,,,,,,,
593,bags of recycling deposited (negative CF),,,,,,,,,,,,
593,bags of compost deposited (negative CF),,,,,,,,,,,,
593,hazardous or electric items disposed,,,,,,,,,,,,
593,large items disposed,1,15,,,,,,,,,,
594,Household heating => 70F,1,76,,,,,,1,,,,
594,Household heating < 70F,6,91,,,1,1,,1,,,,
594,Use of heat pump,,44,,,,,,,,,,
594,Use of air conditioner,17,53,,1,,,,,,,,
594,shower - short,7,97,,,1,1,,,,,,
594,shower - long (> 3 min),34,89,,,1,,,,,,,
594,bath,,12,,,,,,,,,,
594,wash-up,43,43,,,,,,,,,,
594,use of dishwasher,14,21,,,,,,,,,,
594,use of clothes washer,7,47,,,,,,,,,,
594,use of clothes dryer,2,13,1,,,,,,,,1,
594,use of cooking range,,,,,,,,,,,1,
594,use of  oven,12,34,,,,,,,,,1,
594,use of self-clean feature of electric oven,3,21,,,,,,,,,,
594,Small kitchen appliance in the home,,,,,,,,,,,,
594,TV/computer use,58,31,,,,,,,,,,
594,air travel - large plane,2707,41,,,,,,,,,,1
594,air travel - small  plane (<50 seats),,,,,,,,,,,,
594,car trips- self only,274,60,,,,,1,,,,,
594,car trips - driver and self,30,21,,,,,1,,,,,
594,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
594,trips using public ground transportation,15,45,,,,,,,,,,
594,bags of garbage disposed,22,45,,,,,,,,,,
594,bags of recycling deposited (negative CF),,,,,,,,,,,,
594,bags of compost deposited (negative CF),,,,,,,,,,,,
594,hazardous or electric items disposed,,,,,,,,,,,,
594,large items disposed,,13,,,,,,,,,,
595,Household heating => 70F,2,67,,,,,,1,,,,
595,Household heating < 70F,2,64,,,,,,1,,,,
595,Use of heat pump,,50,,,,,,,,,,
595,Use of air conditioner,16,43,,,,,,,,,,
595,shower - short,4,83,,,,,,,,,,
595,shower - long (> 3 min),32,91,,,,,,,,,,
595,bath,,13,,,,,,,,,,
595,wash-up,37,44,,,,,,,,,,
595,use of dishwasher,,23,,,,,,,,,,
595,use of clothes washer,4,42,,,,,,,,,,
595,use of clothes dryer,3,16,,,,,,,,,,
595,use of cooking range,,,,,,,,,,,,
595,use of  oven,11,40,,,,,,,,,,
595,use of self-clean feature of electric oven,2,11,,,,,,,,,,
595,Small kitchen appliance in the home,,,,,,,,,,,,
595,TV/computer use,64,27,,,,,,,,,,
595,air travel - large plane,3852,51,,,,,,,,,,
595,air travel - small  plane (<50 seats),,,,,,,,,,,,
595,car trips- self only,395,59,,,,,1,,,,,
595,car trips - driver and self,19,29,,,,,1,,,,,
595,car trips - 2+ people with multiple end points,16,,,,,,1,,,,,
595,trips using public ground transportation,14,61,,,,,,,,,,
595,bags of garbage disposed,27,51,,,,,,,,,,
595,bags of recycling deposited (negative CF),,,,,,,,,,,,
595,bags of compost deposited (negative CF),6,13,,,,,,,,,,
595,hazardous or electric items disposed,,,,,,,,,,,,
595,large items disposed,,13,,,,,,,,,,
596,Household heating => 70F,7,64,,,1,,,1,,,,
596,Household heating < 70F,4,84,,,,1,,1,,,,
596,Use of heat pump,,50,,,,,,,,,,
596,Use of air conditioner,24,48,,,1,,,,,,,
596,shower - short,6,87,1,,,,,,,,,
596,shower - long (> 3 min),23,78,,,1,,,,,,,
596,bath,,18,,,,1,,,,,,
596,wash-up,34,26,,,,,,,,,,
596,use of dishwasher,,20,,,,,,,,,,
596,use of clothes washer,3,39,,,,,,,,,,
596,use of clothes dryer,3,15,,,,,,,,,1,
596,use of cooking range,,,,,,,,,,,1,
596,use of  oven,12,31,,,,,,,,,1,
596,use of self-clean feature of electric oven,3,13,,,,,,,,,,
596,Small kitchen appliance in the home,,,,,,,,,,,,
596,TV/computer use,59,22,,,,,,,,,,
596,air travel - large plane,3653,41,,,,,,,,,,
596,air travel - small  plane (<50 seats),,,,,,,1,,,,,
596,car trips- self only,329,55,,,,,1,,,,,
596,car trips - driver and self,15,34,,,,,1,,,,,
596,car trips - 2+ people with multiple end points,24,,,,,,1,,,,,
596,trips using public ground transportation,19,51,,,,,,,,,,
596,bags of garbage disposed,21,42,,,,,,,,,,
596,bags of recycling deposited (negative CF),,,,,,,,,,,,
596,bags of compost deposited (negative CF),,,,,,,,,,,,
596,hazardous or electric items disposed,,,,,,,,,,,,
596,large items disposed,,14,,,,,,,,,,
597,Household heating => 70F,4,60,,,,,,1,,,,
597,Household heating < 70F,10,93,,,,,,1,,,,
597,Use of heat pump,-2,49,,,,,,,,,,
597,Use of air conditioner,30,51,,,,,,,,,,
597,shower - short,8,92,,,,,,,,,,
597,shower - long (> 3 min),26,86,,,,,,,,,,
597,bath,,10,,,,,,,,,,
597,wash-up,46,28,,,,,,,,,,
597,use of dishwasher,,24,,,,,,,,,,
597,use of clothes washer,2,34,,,,,,,,,,
597,use of clothes dryer,4,18,,,,,,,,,,
597,use of cooking range,,,,1,,,,,,,,
597,use of  oven,9,37,,,,,,,,,,
597,use of self-clean feature of electric oven,3,14,,,,,,,,,,
597,Small kitchen appliance in the home,,,,,,,,,,,,
597,TV/computer use,63,22,,,,1,,,,,,
597,air travel - large plane,3189,50,,,,,,,,,,1
597,air travel - small  plane (<50 seats),,,,,,,,,,,,1
597,car trips- self only,379,42,,,,,1,,,,,
597,car trips - driver and self,35,36,,,,,1,,,,,
597,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
597,trips using public ground transportation,12,44,,,,,,,,,,
597,bags of garbage disposed,24,51,,,,,,,,,,
597,bags of recycling deposited (negative CF),,,,,,,,,,,,
597,bags of compost deposited (negative CF),8,18,,,,,,,,,,
597,hazardous or electric items disposed,,,,,,,,,,,,
597,large items disposed,,19,,,,,,,,,,
598,Household heating => 70F,5,61,,,,,,1,,,,
598,Household heating < 70F,6,62,,,,,,1,,,,
598,Use of heat pump,,50,,,,,,,,,,
598,Use of air conditioner,31,41,,1,,1,,,,,,
598,shower - short,3,93,,1,,,,,,,,
598,shower - long (> 3 min),17,80,1,,,,,,,,,
598,bath,,20,,,,,,,,,,
598,wash-up,43,42,,,,1,,,,,,
598,use of dishwasher,,23,,,,,,,,,,
598,use of clothes washer,3,47,,,,,,,,,,
598,use of clothes dryer,3,13,,,,,,,,,1,
598,use of cooking range,,,,,,,,,,,1,
598,use of  oven,9,38,,,,,,,,,1,
598,use of self-clean feature of electric oven,3,11,,1,,,,,,,,
598,Small kitchen appliance in the home,,,,,,,,,,,,
598,TV/computer use,58,31,,,,,,,,,,
598,air travel - large plane,3167,51,,,,,,,,,,1
598,air travel - small  plane (<50 seats),,,,,,,,,,,,1
598,car trips- self only,303,53,,,,,1,,,,,
598,car trips - driver and self,20,22,,,,,1,,,,,
598,car trips - 2+ people with multiple end points,24,,,,,,1,,,,,
598,trips using public ground transportation,15,54,,,,,,,,,,
598,bags of garbage disposed,25,45,,,,,,,,,,
598,bags of recycling deposited (negative CF),,,,,,,,,,,,
598,bags of compost deposited (negative CF),,,,,,,,,,,,
598,hazardous or electric items disposed,,,,,,,,,,,,
598,large items disposed,,14,,,,,,,,,,
599,Household heating => 70F,3,78,,,,,1,1,,,,
599,Household heating < 70F,9,70,,,,,,1,,,,
599,Use of heat pump,,47,,,,,,,,,,
599,Use of air conditioner,12,57,,,,,,,,,,
599,shower - short,8,93,,,,,,,,,,
599,shower - long (> 3 min),25,88,,,,,,,,,,
599,bath,,15,,,,,,,,,,
599,wash-up,50,34,,,,,1,,,,,
599,use of dishwasher,,25,,,,,,,,,,
599,use of clothes washer,3,41,,,,,,,,,,
599,use of clothes dryer,2,19,,,,,,,,,,
599,use of cooking range,,,,,,1,,,,,,
599,use of  oven,10,36,,,,,,,,,,
599,use of self-clean feature of electric oven,1,19,,,,,,,,,,
599,Small kitchen appliance in the home,55,,,,,,,,,,,
599,TV/computer use,59,25,,,1,,,,,,,
599,air travel - large plane,3965,44,,,,,,,,,,
599,air travel - small  plane (<50 seats),,,,,,,,,,,,1
599,car trips- self only,455,59,,,,,1,,,,,
599,car trips - driver and self,23,21,,,,,1,,,,,
599,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
599,trips using public ground transportation,17,42,,,,,,,,,,
599,bags of garbage disposed,20,51,,,,,,,,,,
599,bags of recycling deposited (negative CF),,,,,,,,,,,,
599,bags of compost deposited (negative CF),7,15,,,,,,,,,,
599,hazardous or electric items disposed,,,,,,,,,,,,
599,large items disposed,,14,,,,,,,,,,
600,Household heating => 70F,8,61,,,,,,1,,1,,
600,Household heating < 70F,1,69,,,,,,1,,,,
600,Use of heat pump,,48,,,,1,,,,,,
600,Use of air conditioner,25,55,,,,,,,,,,
600,shower - short,7,98,,,,,,,,,,
600,shower - long (> 3 min),32,92,,,,,,,,,,
600,bath,,21,,,,,,,,,,
600,wash-up,35,34,,,,,,,,,,
600,use of dishwasher,,21,,,,,,,,,,
600,use of clothes washer,5,37,,,,,,,,,,
600,use of clothes dryer,3,11,1,,,,,,,,1,
600,use of cooking range,,,,,,,,,,,1,
600,use of  oven,9,33,,,,,,,1,,1,
600,use of self-clean feature of electric oven,2,15,,,,,,,,,,
600,Small kitchen appliance in the home,,,,,,,,,,,,
600,TV/computer use,63,22,,,,,,,,,,
600,air travel - large plane,2645,42,,,,,,,,,,
600,air travel - small  plane (<50 seats),,,,,,,,,,,,
600,car trips- self only,330,48,,,,,1,,,,,
600,car trips - driver and self,20,24,,,,,1,,,,,
600,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
600,trips using public ground transportation,16,52,,,,,,,,,,
600,bags of garbage disposed,22,41,,,,,,,,,,
600,bags of recycling deposited (negative CF),,,,,,,,,,,,
600,bags of compost deposited (negative CF),,,,,,,,,,,,
600,hazardous or electric items disposed,,,,,,,,,,,,
600,large items disposed,2,16,,,,,,,,,,
601,Household heating => 70F,10,78,,,,,,1,,,,
601,Household heating < 70F,8,83,,,,,,1,,,,
601,Use of heat pump,,46,,,,1,,,,,,
601,Use of air conditioner,13,58,1,,,,,,,,,
601,shower - short,4,92,,,,,,,,,,
601,shower - long (> 3 min),28,90,,1,,,,,,,,
601,bath,,10,,,,,,,,,,
601,wash-up,43,37,,,,,,,,,,
601,use of dishwasher,,25,,,,,,,,,,
601,use of clothes washer,3,45,,,,,,,,,,
601,use of clothes dryer,2,15,,,,,,,,,,
601,use of cooking range,,,,,,,,,,,,
601,use of  oven,12,36,,,,,,,,,,
601,use of self-clean feature of electric oven,3,14,,,,,,,,,,
601,Small kitchen appliance in the home,55,,,1,,,,,,,,
601,TV/computer use,59,24,,,,,,,,,,
601,air travel - large plane,3957,50,,,,,,,,,,1
601,air travel - small  plane (<50 seats),,,,,,,,,,,,1
601,car trips- self only,462,53,,,,,1,,,,,
601,car trips - driver and self,28,27,,,,,1,,,,,
601,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
601,trips using public ground transportation,18,56,,,,,,,,,,
601,bags of garbage disposed,24,41,,,,,,,,,,
601,bags of recycling deposited (negative CF),,,,,,,,,,,,
601,bags of compost deposited (negative CF),,,,,,,,,,,,
601,hazardous or electric items disposed,1,,,,,,,,,,,
601,large items disposed,2,15,,,,,,,,,,
602,Household heating => 70F,1,79,,,,,,1,,,,
602,Household heating < 70F,1,79,,,1,,,1,,,,
602,Use of heat pump,,55,,,,,,,,,,
602,Use of air conditioner,24,45,,,,1,,,,,,
602,shower - short,5,94,,,,,,,,,,
602,shower - long (> 3 min),19,75,,,,,,,,,,
602,bath,,15,,,,,,,,,,
602,wash-up,32,30,,,,,,,,,,
602,use of dishwasher,18,19,1,,,,,,,,,
602,use of clothes washer,4,39,,,,,,,,,,
602,use of clothes dryer,2,18,,,,,,,,,1,
602,use of cooking range,,,,,,,,,,,1,
602,use of  oven,12,34,,,1,,,,,,1,
602,use of self-clean feature of electric oven,1,15,,1,,,,,,,,
602,Small kitchen appliance in the home,59,,,,,,,,,,,
602,TV/computer use,59,25,,,,,,,,,,
602,air travel - large plane,2620,46,,,,,,,,,,1
602,air travel - small  plane (<50 seats),,,,,,,,,,,,
602,car trips- self only,343,53,,,,,1,,,,,
602,car trips - driver and self,33,21,,,,,1,,,,,
602,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
602,trips using public ground transportation,16,42,,,,,,,,,,
602,bags of garbage disposed,23,44,,,,,,,,,,
602,bags of recycling deposited (negative CF),,,,,,,,,,,,
602,bags of compost deposited (negative CF),,,,,,,,,,,,
602,hazardous or electric items disposed,,,,,,,,,,,,
602,large items disposed,1,16,,,,,,,,,,
603,Household heating => 70F,9,79,,,,,,1,,,,
603,Household heating < 70F,5,76,,,,,,1,,,,
603,Use of heat pump,,43,,,,,,,,,,
603,Use of air conditioner,17,58,,,,,,,,,,
603,shower - short,2,87,,,,,,,,,,
603,shower - long (> 3 min),14,79,,,,,,,,,,
603,bath,,18,,,,,,,,,,
603,wash-up,38,34,,,,,,,,,,
603,use of dishwasher,15,25,,,,,,,,,,
603,use of clothes washer,5,36,,,,,,,,,,
603,use of clothes dryer,3,15,,1,,,,,,,,
603,use of cooking range,,,,,,,,,,,,
603,use of  oven,9,35,1,,,,,,,,,
603,use of self-clean feature of electric oven,4,20,,,,,,,,,,
603,Small kitchen appliance in the home,,,,,,,,,,,,
603,TV/computer use,60,29,,,,,,,,,,
603,air travel - large plane,3988,44,,,,,,,,,,1
603,air travel - small  plane (<50 seats),,,,,,,,,,,,
603,car trips- self only,308,60,,,,,1,,,,,
603,car trips - driver and self,33,32,,,,,1,,,,,
603,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
603,trips using public ground transportation,12,57,,,,,,,,,,
603,bags of garbage disposed,26,46,,,,,,,,,,
603,bags of recycling deposited (negative CF),,,,,,,,,,,,
603,bags of compost deposited (negative CF),,,,,,,,,,,,
603,hazardous or electric items disposed,,,,,,,,,,,,
603,large items disposed,2,16,,,,,,,,,,
604,Household heating => 70F,6,64,,,,,,1,,,,
604,Household heating < 70F,1,61,,,,,,1,,,,
604,Use of heat pump,,53,,,,,,,,,,
604,Use of air conditioner,27,54,,,,,,,,,,
604,shower - short,8,93,,,,,,,,,,
604,shower - long (> 3 min),25,80,,,,,,,,,,
604,bath,,18,,,,,,,,,,
604,wash-up,40,37,,,,,,,,,,
604,use of dishwasher,,20,,,,,,,,,,
604,use of clothes washer,5,31,,,,,,,,,,
604,use of clothes dryer,4,20,,,,,,,,,1,
604,use of cooking range,,,,,,,,,,,1,
604,use of  oven,8,36,,,,,,,,,1,
604,use of self-clean feature of electric oven,3,13,,,,,,,,,,
604,Small kitchen appliance in the home,,,,,,,,,,,,
604,TV/computer use,58,28,,,,,,,,,,
604,air travel - large plane,2008,45,,,,,,,,,,
604,air travel - small  plane (<50 seats),,,,,,,,,,,,
604,car trips- self only,363,52,,,,,1,,,,,
604,car trips - driver and self,40,28,,,,,1,,,,,
604,car trips - 2+ people with multiple end points,,,,,,,1,,,,,
604,trips using public ground transportation,12,51,,,,,,,,,,
604,bags of garbage disposed,27,41,,,,,,,,,,
604,bags of recycling deposited (negative CF),,,,,,,,,,,,
604,bags of compost deposited (negative CF),,,,,,,,,,,,
604,hazardous or electric items disposed,,,,,,,,,,,,
604,large items disposed,,12,,,,,,,,,,
605,Household heating => 70F,2,71,,,,,,1,,,,
605,Household heating < 70F,10,80,,,,,,1,,,,
605,Use of heat pump,,55,,,,,,,,,,
605,Use of air conditioner,16,56,1,,,,,,,,,
605,shower - short,2,89,,,,1,,,,,,
605,shower - long (> 3 min),40,84,,,,,,,,,,
605,bath,,9,1,,,,,,,,,
605,wash-up,40,31,,,,,,,,,,
605,use of dishwasher,,23,,,,,,,,,,
605,use of clothes washer,6,27,1,,,,,,,,,
605,use of clothes dryer,3,20,,,,,,,,1,,
605,use of cooking range,,,,,,,,,,,,
605,use of  oven,12,35,,,,1,,,,,,
605,use of self-clean feature of electric oven,1,17,,,,,,,,,,
605,Small kitchen appliance in the home,,,,,,,,,,,,
605,TV/computer use,64,22,1,,,1,,,,,,
605,air travel - large plane,3009,48,,,,,,,,,,
605,air travel - small  plane (<50 seats),,,,,,,,,,,,1
605,car trips- self only,310,59,,,,,1,,,,,
605,car trips - driver and self,26,28,,,,,1,,,,,
605,car trips - 2+ people with multiple end points,24,,,,,,1,,,,,
605,trips using public ground transportation,19,62,,,,,,,,,,
605,bags of garbage disposed,25,48,,,,,,,,,,
605,bags of recycling deposited (negative CF),,,,,,,,,,,,
605,bags of compost deposited (negative CF),,,,,,,,,,,,
605,hazardous or electric items disposed,,,,,,,,,,,,
605,large items disposed,,18,,,,,,,,,,
606,Household heating => 70F,10,76,,,,,,1,,,,
606,Household heating < 70F,4,71,,,1,,,1,,,,
606,Use of heat pump,,41,,,,,,,,,,
606,Use of air conditioner,28,46,,,,,,,,1,,
606,shower - short,6,89,,,,,,,,,,
606,shower - long (> 3 min),34,74,,,,,,,,,,
606,bath,,13,,,,,,,1,,,
606,wash-up,32,24,,,,,,,,,,
606,use of dishwasher,,21,,,,,,,,,,
606,use of clothes washer,6,43,,,,,,,,,,
606,use of clothes dryer,3,19,,,,,,,,,1,
606,use of cooking range,,,,,,,,,,,1,
606,use of  oven,10,39,,,,,,,,,1,
606,use of self-clean feature of electric oven,4,20,,,,,,,,,,
606,Small kitchen appliance in the home,,,1,,,,,,,,,
606,TV/computer use,60,26,,,,,,,,,,
606,air travel - large plane,3387,47,,,,,,,,,,
606,air travel - small  plane (<50 seats),655,32,,,,,,,,,,
606,car trips- self only,354,59,,,,,1,,,,,
606,car trips - driver and self,11,23,,,,,1,,,,,
606,car trips - 2+ people with multiple end points,27,,,,,,1,,,,,
606,trips using public ground transportation,13,44,,,,,,,,,,
606,bags of garbage disposed,21,44,,,,,,,,,,
606,bags of recycling deposited (negative CF),,,,,,,,,,,,
606,bags of compost deposited (negative CF),5,11,,,,,,,,,,
606,hazardous or electric items disposed,,,,,,,,,,,,
606,large items disposed,2,17,,,,,,,,,,
607,Household heating => 70F,9,73,1,,,,,1,,,,
607,Household heating < 70F,3,73,,,,,,1,,,,
607,Use of heat pump,,54,,,,,,,,,,
607,Use of air conditioner,24,39,,,1,,1,,,,,
607,shower - short,5,82,,,1,,,,,,,
607,shower - long (> 3 min),11,88,,,,,,,1,,,
607,bath,,15,,,,,,,,,,
607,wash-up,41,26,,,,,,,,,,
607,use of dishwasher,,23,,,,,,,,,,
607,use of clothes washer,6,29,,,,,,,,,,
607,use of clothes dryer,4,13,,,,,,,,,,
607,use of cooking range,,,,,,,,,,,,
607,use of  oven,9,38,,,,,,,,,,
607,use of self-clean feature of electric oven,4,21,,,,,,,,,,
607,Small kitchen appliance in the home,,,,,,,,,,,,
607,TV/computer use,64,23,,,,,,,,,,
